# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf0.5342
response_time_bucket{method="GetReportsAndThumbnails",le="6000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="6500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="7000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="7500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="8000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="8500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="9000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="9500"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="10000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="15000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="30000"} 1669
response_time_bucket{method="GetReportsAndThumbnails",le="+Inf"} 1669
response_time_sum{method="GetPatientHistory"} 7330000.5342
response_time_count{method="GetPatientHistory"} 101
response_time_bucket{method="GetPatientHistory",le="1"} 0
response_time_bucket{method="GetPatientHistory",le="2"} 0
response_time_bucket{method="GetPatientHistory",le="3"} 0
response_time_bucket{method="GetPatientHistory",le="4"} 0
response_time_bucket{method="GetPatientHistory",le="5"} 0
response_time_bucket{method="GetPatientHistory",le="6"} 0
response_time_bucket{method="GetPatientHistory",le="7"} 0
response_time_bucket{method="GetPatientHistory",le="8"} 0
response_time_bucket{method="GetPatientHistory",le="9"} 0
response_time_bucket{method="GetPatientHistory",le="10"} 0
response_time_bucket{method="GetPatientHistory",le="20"} 0
response_time_bucket{method="GetPatientHistory",le="30"} 0
response_time_bucket{method="GetPatientHistory",le="40"} 0
response_time_bucket{method="GetPatientHistory",le="50"} 0
response_time_bucket{method="GetPatientHistory",le="60"} 0
response_time_bucket{method="GetPatientHistory",le="70"} 0
response_time_bucket{method="GetPatientHistory",le="80"} 0
response_time_bucket{method="GetPatientHistory",le="90"} 0
response_time_bucket{method="GetPatientHistory",le="100"} 0
response_time_bucket{method="GetPatientHistory",le="200"} 0
response_time_bucket{method="GetPatientHistory",le="300"} 0
response_time_bucket{method="GetPatientHistory",le="400"} 0
response_time_bucket{method="GetPatientHistory",le="500"} 0
response_time_bucket{method="GetPatientHistory",le="600"} 0
response_time_bucket{method="GetPatientHistory",le="700"} 0
response_time_bucket{method="GetPatientHistory",le="800"} 0
response_time_bucket{method="GetPatientHistory",le="900"} 0
response_time_bucket{method="GetPatientHistory",le="1000"} 0
response_time_bucket{method="GetPatientHistory",le="1500"} 0
response_time_bucket{method="GetPatientHistory",le="2000"} 0
response_time_bucket{method="GetPatientHistory",le="2500"} 0
response_time_bucket{method="GetPatientHistory",le="3000"} 0
response_time_bucket{method="GetPatientHistory",le="3500"} 0
response_time_bucket{method="GetPatientHistory",le="4000"} 0
response_time_bucket{method="GetPatientHistory",le="4500"} 0
response_time_bucket{method="GetPatientHistory",le="5000"} 0
response_time_bucket{method="GetPatientHistory",le="5500"} 0
response_time_bucket{method="GetPatientHistory",le="6000"} 0
response_time_bucket{method="GetPatientHistory",le="6500"} 0
response_time_bucket{method="GetPatientHistory",le="7000"} 64
response_time_bucket{method="GetPatientHistory",le="7500"} 88
response_time_bucket{method="GetPatientHistory",le="8000"} 99
